code,nom,pourcentage,complet
50003,Agon-Coutainville,"100,00",oui
50167,Dragey-Ronthon,"100,00",oui
50412,Port-Bail-sur-Mer,"100,00",oui
50502,Saint-Lô,"100,00",oui
50550,Saint-Sauveur-Villages,"100,00",oui
51058,Bezannes,"100,00",oui
51210,Dizy,"100,00",oui
51230,Epernay,"100,00",oui
51298,Igny-Comblizy,"100,00",oui
51474,Saint-Brice-Courcelles,"100,00",oui
51530,Sept-Saulx,"100,00",oui
51531,Sermaize-les-Bains,"100,00",oui
51535,Sézanne,"100,00",oui
51573,Tinqueux,"100,00",oui
51583,Trois-Fontaines-l'Abbaye,"100,00",oui
52121,Chaumont,"100,00",oui
52269,Langres,"100,00",oui
52284,Leschères-sur-le-Blaiseron,"100,00",oui
52550,Wassy,"100,00",oui
54099,Val de Briey,"100,00",oui
54215,Frouard,"100,00",oui
54222,Gerbéviller,"100,00",oui
54279,Jezainville,"100,00",oui
54300,Laneuveville-devant-Nancy,"66,66",non
54314,Lexy,"100,00",oui
54320,Loisy,"100,00",oui
54323,Longwy,"100,00",oui
54326,Lubey,"100,00",oui
54453,Rembercourt-sur-Mad,"100,00",oui
54495,Saulxures-lès-Nancy,"100,00",oui
54504,Serrouville,"100,00",oui
55029,Bar-le-Duc,"100,00",oui
55035,Bazincourt-sur-Saulx,"100,00",oui
55122,Commercy,"100,00",oui
55166,Dugny-sur-Meuse,"100,00",oui
55228,Hannonville-sous-les-Côtes,"100,00",oui
55271,Laheycourt,"100,00",oui
55346,Montfaucon-d'Argonne,"100,00",oui
55351,Montmédy,"100,00",oui
55430,Ribeaucourt,"100,00",oui
55505,Thierville-sur-Meuse,"100,00",oui
55514,Trémont-sur-Saulx,"100,00",oui
55521,Troyon,"100,00",oui
56005,Arzon,"100,00",oui
56007,Auray,"100,00",oui
56034,Carnac,"100,00",oui
56078,Guidel,"100,00",oui
56080,Guilliers,"100,00",oui
56083,Hennebont,"100,00",oui
56084,Le Hézo,"100,00",oui
56088,Ile-d'Arz,"100,00",oui
56096,Landaul,"100,00",oui
56099,Langoëlan,"100,00",oui
56107,Larmor-Plage,"100,00",oui
56118,Locmiquélic,"100,00",oui
56136,Monteneuf,"100,00",oui
56167,Plougoumelen,"100,00",oui
56181,Port-Louis,"100,00",oui
56188,Quistinic,"100,00",oui
56201,Le Saint,"100,00",oui
56258,La Trinité-sur-Mer,"100,00",oui
57003,Abreschviller,"100,00",oui
57049,Le Ban-Saint-Martin,"100,00",oui
57091,Bliesbruck,"100,00",oui
57097,Boulay-Moselle,"100,00",oui
57143,Clouange,"100,00",oui
57160,Creutzwald,"100,00",oui
57209,Faulquemont,"100,00",oui
57212,Féy,"100,00",oui
57224,Folschviller,"100,00",oui
57227,Forbach,"100,00",oui
57283,Hagondange,"100,00",oui
57380,Laneuveville-lès-Lorquin,"100,00",oui
57499,Neufgrange,"100,00",oui
57537,Petite-Rosselle,"100,00",oui
57540,Phalsbourg,"100,00",oui
57550,Porcelette,"100,00",oui
57563,Raville,"100,00",oui
57606,Saint-Avold,"100,00",oui
57669,Théding,"100,00",oui
57765,Diesen,"100,00",oui
58045,La Celle-sur-Nièvre,"100,00",oui
58194,Nevers,"100,00",oui
58218,Prémery,"100,00",oui
58235,Saint-Brisson,"100,00",oui
58250,Saint-Léger-des-Vignes,"100,00",oui
58273,Sauvigny-les-Bois,"100,00",oui
58303,Varennes-Vauzelles,"100,00",oui
59002,Abscon,"100,00",oui
59011,Annoeullin,"100,00",oui
59017,Armentières,"100,00",oui
59026,Aubigny-au-Bac,"100,00",oui
59068,Berlaimont,"100,00",oui
59104,Boussois,"100,00",oui
59107,Bray-Dunes,"100,00",oui
59115,Brunémont,"100,00",oui
59118,Busigny,"100,00",oui
59122,Cambrai,"100,00",oui
59152,Comines,"100,00",oui
59153,Condé-sur-l'Escaut,"100,00",oui
59178,Douai,"100,00",oui
59179,Douchy-les-Mines,"100,00",oui
59205,Escaudain,"100,00",oui
59226,Felleries,"100,00",oui
59256,Fretin,"100,00",oui
59263,Goeulzin,"100,00",oui
59266,Gondecourt,"100,00",oui
59276,Guesnain,"100,00",oui
59279,Halluin,"100,00",oui
59284,Hasnon,"100,00",oui
59286,Haubourdin,"100,00",oui
59302,Hérin,"100,00",oui
59305,Herzeele,"100,00",oui
59328,Lambersart,"100,00",oui
59349,Ligny-en-Cambrésis,"100,00",oui
59388,Marquillies,"100,00",oui
59428,Neuville-Saint-Rémy,"100,00",oui
59482,Quesnoy-sur-Deûle,"100,00",oui
59485,Quiévy,"100,00",oui
59495,Recquignies,"100,00",oui
59502,Rieux-en-Cambrésis,"100,00",oui
59550,Salomé,"100,00",oui
59597,Tilloy-lez-Cambrai,"100,00",oui
59606,Valenciennes,"100,00",oui
59614,Viesly,"100,00",oui
59639,Wargnies-le-Grand,"100,00",oui
59651,Wavrechain-sous-Denain,"100,00",oui
59659,Wignehies,"100,00",oui
60024,Arsy,"100,00",oui
60115,Bulles,"100,00",oui
60233,Feuquières,"100,00",oui
60238,Fleurines,"100,00",oui
60242,Fontaine-Lavaganne,"100,00",oui
60250,Fouquenies,"100,00",oui
60256,Montchevreuil,"100,00",oui
60338,Lacroix-Saint-Ouen,"100,00",oui
60418,Montiers,"100,00",oui
60463,Nogent-sur-Oise,"100,00",oui
60468,Nourard-le-Franc,"100,00",oui
60471,Noyon,"100,00",oui
60559,La Rue-Saint-Pierre,"100,00",oui
60597,Saint-Sauveur,"100,00",oui
60603,Salency,"100,00",oui
60658,Vauciennes,"100,00",oui
61214,L'Aigle,"100,00",oui
61327,Pervenchères,"100,00",oui
61399,Saint-Gervais-des-Sablons,"100,00",oui
61423,Saint-Martin-d'Ecublei,"100,00",oui
61464,Sées,"100,00",oui
61491,Tourouvre au Perche,"100,00",oui
62026,Ambricourt,"100,00",oui
62033,Annay,"100,00",oui
62038,Ardres,"100,00",oui
62044,Attin,"100,00",oui
62100,Beaurainville,"100,00",oui
62108,Berck,"100,00",oui
62133,Billy-Montigny,"100,00",oui
62145,Boiry-Notre-Dame,"100,00",oui
62215,Carvin,"100,00",oui
62232,La Comté,"100,00",oui
62249,Courcelles-lès-Lens,"100,00",oui
62261,Cucq,"100,00",oui
62274,Dourges,"100,00",oui
62318,Etaples,"100,00",oui
62334,Fiennes,"100,00",oui
62343,Fontaine-lès-Croisilles,"100,00",oui
62351,Fouquières-lès-Lens,"100,00",oui
62382,Gouy-Saint-André,"100,00",oui
62383,Gouy-sous-Bellonne,"100,00",oui
62386,Grenay,"100,00",oui
62432,Herbinghen,"100,00",oui
62459,Houvin-Houvigneul,"100,00",oui
62518,Linzeux,"100,00",oui
62534,Lumbres,"100,00",oui
62557,Maroeuil,"100,00",oui
62580,Monchy-Breton,"100,00",oui
62637,Oignies,"100,00",oui
62652,Pernes,"100,00",oui
62666,Pont-à-Vendin,"100,00",oui
62705,Rety,"100,00",oui
62712,Rivière,"100,00",oui
62812,Thiembronne,"100,00",oui
62841,Vendin-lès-Béthune,"100,00",oui
62849,Verton,"100,00",oui
62902,Wizernes,"100,00",oui
63002,Aix-la-Fayette,"100,00",oui
63003,Ambert,"100,00",oui
63012,Artonne,"100,00",oui
63026,Aydat,"100,00",oui
63032,Beaumont,"100,00",oui
63124,Cournon-d'Auvergne,"100,00",oui
63284,Pont-du-Château,"100,00",oui
63302,La Roche-Blanche,"100,00",oui
63380,Saint-Nectaire,"100,00",oui
63435,Tourzel-Ronzières,"100,00",oui
63437,Trémouille-Saint-Loup,"100,00",oui
63464,Vitrac,"100,00",oui
64035,Arbonne,"100,00",oui
64065,Ascain,"100,00",oui
64108,Bellocq,"100,00",oui
64147,Briscous,"100,00",oui
64160,Cambo-les-Bains,"100,00",oui
64371,Mauléon-Licharre,"100,00",oui
64417,Nay,"100,00",oui
64422,Oloron-Sainte-Marie,"100,00",oui
64483,Saint-Jean-de-Luz,"100,00",oui
64545,Urrugne,"100,00",oui
65025,Argelès-Gazost,"100,00",oui
65295,Luz-Saint-Sauveur,"100,00",oui
65304,Maubourguet,"100,00",oui
65460,Vic-en-Bigorre,"100,00",oui
66028,Cabestany,"100,00",oui
66038,Canohès,"100,00",oui
66050,Claira,"100,00",oui
66082,Formiguères,"100,00",oui
66088,Ille-sur-Têt,"100,00",oui
66107,Maury,"100,00",oui
66134,Passa,"100,00",oui
66149,Prades,"100,00",oui
66164,Rivesaltes,"100,00",oui
66175,Saint-Génis-des-Fontaines,"100,00",oui
66176,Saint-Hippolyte,"66,66",non
66180,Saint-Laurent-de-la-Salanque,"100,00",oui
66217,Trouillas,"100,00",oui
67020,Barembach,"100,00",oui
67061,Bouxwiller,"100,00",oui
67067,Brumath,"100,00",oui
67078,Crastatt,"100,00",oui
67101,Dorlisheim,"100,00",oui
67130,Erstein,"100,00",oui
67196,Hilsenheim,"100,00",oui
67268,Lipsheim,"100,00",oui
67276,Lutzelhouse,"100,00",oui
67368,Ottrott,"100,00",oui
67397,Rhinau,"100,00",oui
67462,Sélestat,"100,00",oui
67523,Weitbruch,"100,00",oui
67550,Woerth,"100,00",oui
68006,Bernwiller,"100,00",oui
68012,Aspach-Michelbach,"100,00",oui
68028,Bergheim,"100,00",oui
68036,Biesheim,"100,00",oui
68084,Eschentzwiller,"100,00",oui
68124,Hausgauen,"100,00",oui
68162,Kaysersberg Vignoble,"100,00",oui
68173,Labaroche,"100,00",oui
68184,Liebsdorf,"100,00",oui
68217,Moosch,"100,00",oui
68224,Mulhouse,"100,00",oui
68240,Illtal,"100,00",oui
68256,Pfastatt,"100,00",oui
68262,Ranspach,"100,00",oui
